# 어절\t어절의 분석결과
# 사이는 '\t'로 구분
# "# "으로 시작하는 라인은 주석처리 됨
것이다.	것/NNB+이/VCP+다/EF+./SF
바에야	바/NNB+에/JKB+야/JX
많아졌다.	많/VA+아/EC+지/VX+었/EP+다/EF+./SF
법률의	법률/NNG+의/JKG
일에는	일/NNG+에/JKB+는/JX
결승에서	결승/NNG+에서/JKB
금융소득	금융/NNG+소득/NNG
꼽히는	꼽히/VV+는/ETM
풍속을	풍속/NNG+을/JKO
상당수의	상당수/NNG+의/JKG
발전소	발전소/NNG
전달할	전달/NNG+하/XSV+ㄹ/ETM
의원을	의원/NNG+을/JKO
기울이지	기울이/VV+지/EC
코커스에서	코커스/NNG+에서/JKB
동행의	동행/NNG+의/JKG
핑계로	핑계/NNG+로/JKB
인간들이	인간/NNG+들/XSN+이/JKS
풀어서	풀/VV+어서/EC
제1항)	제/XPN+1/SN+항/NNG+)/SS
드러낼	드러내/VV+ㄹ/ETM
좋아했다.	좋아하/VV+았/EP+다/EF+./SF
원활한	원활/NNG+하/XSA+ㄴ/ETM
이해관계가	이해관계/NNG+가/JKS
허겁지겁	허겁지겁/MAG
겨를이	겨를/NNB+이/JKS
失業率은	失業率/SH+은/JX
국내에서는	국내/NNG+에서/JKB+는/JX
파악하지	파악/NNG+하/XSV+지/EC
학교도	학교/NNG+도/JX
임의로	임의/NNG+로/JKB
일동재배	일동/NNG+재배/NNG
주인공의	주인공/NNG+의/JKG
인원을	인원/NNG+을/JKO
풍조를	풍조/NNG+를/JKO
고구려의	고구려/NNP+의/JKG
의지에	의지/NNG+에/JKB
의지의	의지/NNG+의/JKG
풍조는	풍조/NNG+는/JX
세계사의	세계사/NNG+의/JKG
부분에서	부분/NNG+에서/JKB
과격한	과격/XR+하/XSA+ㄴ/ETM
열렬한	열렬/XR+하/XSA+ㄴ/ETM
위로는	위/NNG+로/JKB+는/JX
동북아	동북아/NNP
불구,	불구/XR+,/SP
방침이	방침/NNG+이/JKS
전세계를	전/MM+세계/NNG+를/JKO
다음부터는	다음/NNG+부터/JX+는/JX
용어의	용어/NNG+의/JKG
대화는	대화/NNG+는/JX
돌보는	돌보/VV+는/ETM
요인을	요인/NNG+을/JKO
요인은	요인/NNG+은/JX
확대하고	확대/NNG+하/XSV+고/EC
당하지	당하/VV+지/EC
전환되었다.	전환/NNG+되/XSV+었/EP+다/EF+./SF
엉성한	엉성/XR+하/XSA+ㄴ/ETM
되는지	되/VV+는지/EC
(나)	(/SS+나/NNG+)/SS
깨어	깨/VV+어/EC
꼴로	꼴/NNG+로/JKB
등)	등/NNB+)/SS
글쎄	글쎄/IC
구한	구하/VV+ㄴ/ETM
귀족	귀족/NNG
근세	근세/NNG
글의	글/NNG+의/JKG
범주를	범주/NNG+를/JKO
높아진다.	높/VA+아/EC+지/VX+ㄴ다/EF+./SF
공해	공해/NNG
우연한	우연/NNG+하/XSA+ㄴ/ETM
운영의	운영/NNG+의/JKG
글로	글/NNG+로/JKB
소지를	소지/NNG+를/JKO
갖추어져	갖추/VV+어/EC+지/VX+어/EC
귀국	귀국/NNG
교류	교류/NNG
굴러	구르/VV+어/EC
광장	광장/NNG
겸한	겸하/VV+ㄴ/ETM
오르기	오르/VV+기/ETN
갖춰	갖추/VV+어/EC
다.	다/NNG+./SF
경비	경비/NNG
거주	거주/NNG
개편	개편/NNG
도망쳐	도망치/VV+어/EC
애타게	애타/VV+게/EC
이념적	이념/NNG+적/XSN
자극에	자극/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
주한미군	주한/NNG+미군/NNG
우주에	우주/NNG+에/JKB
이날의	이날/NNG+의/JKG
가만	가만/MAG
두레를	두레/NNG+를/JKO
없어져	없/VA+어/EC+지/VX+어/EC
예부터	예/NNG+부터/JX
악화된	악화/NNG+되/XSV+ㄴ/ETM
이룩했다.	이룩/XR+하/XSV+았/EP+다/EF+./SF
두려워	두렵/VA+어/EC
등이었다.	등/NNB+이/VCP+었/EP+다/EF+./SF
독일이	독일/NNP+이/JKS
성장할	성장/NNG+하/XSV+ㄹ/ETM
위상이	위상/NNG+이/JKS
요건을	요건/NNG+을/JKO
대변인은	대변인/NNG+은/JX
우려되는	우려/NNG+되/XSV+는/ETM
세우지	세우/VV+지/EC
양측이	양측/NNG+이/JKS
때문이며,	때문/NNB+이/VCP+며/EC+,/SP
일대에	일대/NNG+에/JKB
둘러싸여	둘러싸이/VV+어/EC
요금을	요금/NNG+을/JKO
돌아서	돌/VV+아서/EC
불공정	불/XPN+공정/NNG
임마,	임마/IC+,/SP
예술적	예술/NNG+적/XSN
곳,	곳/NNG+,/SP
연암은	연암/NNP+은/JX
잇따른	잇따르/VV+ㄴ/ETM
완화하는	완화/NNG+하/XSV+는/ETM
예정.	예정/NNG+./SF
조성하고	조성/NNG+하/XSV+고/EC
진설하고	진설/NNG+하/XSV+고/EC
보안사	보안사/NNG
평가는	평가/NNG+는/JX
지능검사	지능/NNG+검사/NNG
의식,	의식/NNG+,/SP
터무니없는	터무니없/VA+는/ETM
끝낸다.	끝내/VV+ㄴ다/EF+./SF
응분의	응분/NNG+의/JKG
멈춰	멈추/VV+어/EC
선수단	선수단/NNG
다짐을	다짐/NNG+을/JKO
마신	마시/VV+ㄴ/ETM
얼굴의	얼굴/NNG+의/JKG
만져	만지/VV+어/EC
영유권	영유/NNG+권/XSN
믿기	믿/VV+기/ETN
【도쿄	【/SS+도쿄/NNP
묻자	묻/VV+자/EC
문은	문/NNG+은/JX
무대에서	무대/NNG+에서/JKB
보살님은	보살/NNG+님/XSN+은/JX
보유한	보유/NNG+하/XSV+ㄴ/ETM
꿈꾸던	꿈꾸/VV+던/ETM
뭐라	뭐/NP+이/VCP+라/EC
보이면	보이/VV+면/EC
단적인	단적/NNG+이/VCP+ㄴ/ETM
요란한	요란/NNG+하/XSA+ㄴ/ETM
운동장	운동장/NNG
서울시는	서울시/NNP+는/JX
20세기에	20/SN+세기/NNG+에/JKB
100%	100/SN+%/SW
말린	말리/VV+ㄴ/ETM
맑고	맑/VA+고/EC
나뉜다.	나뉘/VV+ㄴ다/EF+./SF
비료	비료/NNG
비상	비상/NNG
국가에서는	국가/NNG+에서/JKB+는/JX
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF
친애하는	친애/NNG+하/XSV+는/ETM
세속적	세속/NNG+적/XSN
결국에는	결국/NNG+에/JKB+는/JX
떨렸다.	떨리/VV+었/EP+다/EF+./SF
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
드나드는	드나들/VV+는/ETM
법안	법안/NNG
사항은	사항/NNG+은/JX
번역	번역/NNG
유기체가	유기체/NNG+가/JKS
불리던	불리/VV+던/ETM
악수를	악수/NNG+를/JKO
미적	미/NNG+적/XSN
씨앗을	씨앗/NNG+을/JKO
마누라	마누라/NNG
부상	부상/NNG
부지	부지/NNG
불에	불/NNG+에/JKB
서있는	서/VV+어/EC+있/VX+는/ETM
열기를	열기/NNG+를/JKO
벅찬	벅차/VA+ㄴ/ETM
붕괴	붕괴/NNG
변을	변/NNG+을/JKO
대량으로	대량/NNG+으로/JKB
선으로	선/NNG+으로/JKB
분배	분배/NNG
찾아가는	찾아가/VV+는/ETM
복음	복음/NNG
울리는	울리/VV+는/ETM
제도적인	제도/NNG+적/XSN+이/VCP+ㄴ/ETM
5개년	5/SN+개년/NNB
우리측	우리/NP+측/NNB
단기	단기/NNG
담는	담/VV+는/ETM
소감을	소감/NNG+을/JKO
눈의	눈/NNG+의/JKG
[달러]	[/SS+달러/NNB+]/SS
도덕	도덕/NNG
능히	능히/MAG
않았나	않/VX+았/EP+나/EC
단장	단장/NNG
닿지	닿/VV+지/EC
사용될	사용/NNG+되/XSV+ㄹ/ETM
총체적으로	총체/NNG+적/XSN+으로/JKB
대응	대응/NNG
수령님의	수령/NNG+님/XSN+의/JKG
끊는	끊/VV+는/ETM
언론인	언론인/NNG
어른들	어른/NNG+들/XSN
정통성을	정통/NNG+성/XSN+을/JKO
세력의	세력/NNG+의/JKG
날려	날리/VV+어/EC
집회를	집회/NNG+를/JKO
대표들은	대표/NNG+들/XSN+은/JX
어른의	어른/NNG+의/JKG
나아가야	나아가/VV+아야/EC
내심	내심/NNG
너두	너/NP+두/JX
노인들은	노인/NNG+들/XSN+은/JX
넣을	넣/VV+을/ETM
상여를	상여/NNG+를/JKO
설립을	설립/NNG+을/JKO
옆자리에	옆/NNG+자리/NNG+에/JKB
살펴보고	살펴보/VV+고/EC
생애를	생애/NNG+를/JKO
일이지만,	일/NNG+이/VCP+지만/EC+,/SP
서쪽으로	서쪽/NNG+으로/JKB
뜻의	뜻/NNG+의/JKG
간격을	간격/NNG+을/JKO
둥근	둥글/VA+ㄴ/ETM
반전하였다.	반전/NNG+하/XSV+았/EP+다/EF+./SF
돼서	되/VV+어서/EC
1960년대	1960/SN+년대/NNB
도울	돕/VV+ㄹ/ETM
이념으로	이념/NNG+으로/JKB
길이라고	길/NNG+이/VCP+라고/EC
등장	등장/NNG
동인지의	동인지/NNG+의/JKG
떠서	뜨/VV+어서/EC
기인하는	기인/NNG+하/XSV+는/ETM
때엔	때/NNG+에/JKB+ㄴ/JX
최씨	최/NNP+씨/NNB
축하	축하/NNG
원화환율	원화/NNG+환율/NNG
환율이	환율/NNG+이/JKS
정확하고	정확/XR+하/XSA+고/EC
창작	창작/NNG
깊이를	깊이/NNG+를/JKO
출간	출간/NNG
95년에는	95/SN+년/NNB+에/JKB+는/JX
결과다.	결과/NNG+이/VCP+다/EF+./SF
후보의	후보/NNG+의/JKG
대담한	대담/XR+하/XSA+ㄴ/ETM
정도까지	정도/NNG+까지/JX
막바지	막바지/NNG
지원해	지원/NNG+하/XSV+아/EC
손님들이	손/NNG+님/XSN+들/XSN+이/JKS
진입을	진입/NNG+을/JKO
지울	지우/VV+ㄹ/ETM
실시했다.	실시/NNG+하/XSV+았/EP+다/EF+./SF
상품으로	상품/NNG+으로/JKB
다루기	다루/VV+기/ETN
허황된	허황/XR+되/XSA+ㄴ/ETM
통증을	통증/NNG+을/JKO
훈련에	훈련/NNG+에/JKB
다물고	다물/VV+고/EC
찍을	찍/VV+을/ETM
대한민국의	대한민국/NNP+의/JKG
비장한	비장/XR+하/XSA+ㄴ/ETM
배제하고	배제/NNG+하/XSV+고/EC
땅으로	땅/NNG+으로/JKB
실시하였다.	실시/NNG+하/XSV+았/EP+다/EF+./SF
정신으로	정신/NNG+으로/JKB
기타를	기타/NNG+를/JKO
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF
요금	요금/NNG
盧泰愚	盧泰愚/SH
조동팔을	조동팔/NNP+을/JKO
막연하게	막연/XR+하/XSA+게/EC
얹어	얹/VV+어/EC
얕은	얕/VA+은/ETM
"자,	"/SS+자/IC+,/SP
형제는	형제/NNG+는/JX
실시될	실시/NNG+되/XSV+ㄹ/ETM
애정	애정/NNG
옮길	옮기/VV+ㄹ/ETM
금요일	금요일/NNG
영감	영감/NNG
안방	안방/NNG
하락으로	하락/NNG+으로/JKB
표현으로	표현/NNG+으로/JKB
씹는	씹/VV+는/ETM
앓는	앓/VV+는/ETM
생각이었다.	생각/NNG+이/VCP+었/EP+다/EF+./SF
기승을	기승/NNG+을/JKO
한국통신	한국통신/NNP
스위스의	스위스/NNP+의/JKG
일한	일/NNG+하/XSV+ㄴ/ETM
잔치	잔치/NNG
잎이	잎/NNG+이/JKS
입장	입장/NNG
위험	위험/NNG
나타나면	나타나/VV+면/EC
따위로	따위/NNB+로/JKB
통합을	통합/NNG+을/JKO
의류	의류/NNG
웃지	웃/VV+지/EC
법적으로	법/NNG+적/XSN+으로/JKB
이끈	이끌/VV+ㄴ/ETM
식사는	식사/NNG+는/JX
벗어나기	벗어나/VV+기/ETN
오신	오/VV+시/EP+ㄴ/ETM
소수	소수/NNG
수년	수년/NNG
수리	수리/NNG
생존	생존/NNG
사채	사채/NNG
4명의	4/SN+명/NNB+의/JKG
5명이	5/SN+명/NNB+이/JKS
살필	살피/VV+ㄹ/ETM
일.	일/NNG+./SF
선언	선언/NNG
성지	성지/NNG
성이	성/NNG+이/JKS
살면	살/VV+면/EC
원)	원/NNB+)/SS
확보가	확보/NNG+가/JKS
2명을	2/SN+명/NNB+을/JKO
사온	사/VV+아/EC+오/VX+ㄴ/ETM
3명의	3/SN+명/NNB+의/JKG
행해진	행하/VV+아/EC+지/VX+ㄴ/ETM
상가	상가/NNG
사내	사내/NNG
새가	새/NNG+가/JKS
전공하는	전공/NNG+하/XSV+는/ETM
신흥	신흥/NNG
대사관	대사관/NNG
싫은	싫/VA+은/ETM
시작	시작/NNG
단숨에	단숨에/MAG
식탁	식탁/NNG
신분	신분/NNG
産業生産이	産業生産/SH+이/JKS
찾는다.	찾/VV+는다/EF+./SF
스님	스님/NNG
증가율은	증가/NNG+율/XSN+은/JX
심는	심/VV+는/ETM
다소의	다소/NNG+의/JKG
쌀과	쌀/NNG+과/JC
신년	신년/NNG
最終貸付者	最終貸付者/SH
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF
기름을	기름/NNG+을/JKO
기름진	기름지/VA+ㄴ/ETM
정도밖에	정도/NNG+밖에/JX
몽고의	몽고/NNP+의/JKG
투철한	투철/XR+하/XSA+ㄴ/ETM
기념하는	기념/NNG+하/XSV+는/ETM
길러야	기르/VV+어야/EC
감당해야	감당/NNG+하/XSV+아야/EC
강당에서	강당/NNG+에서/JKB
기법을	기법/NNG+을/JKO
부패를	부패/NNG+를/JKO
느끼기	느끼/VV+기/ETN
기미가	기미/NNG+가/JKS
희망과	희망/NNG+과/JC
지르며	지르/VV+며/EC
치르게	치르/VV+게/EC
차지하게	차지/NNG+하/XSV+게/EC
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
귀찮은	귀찮/VA+은/ETM
연구해야	연구/NNG+하/XSV+아야/EC
국학의	국학/NNG+의/JKG
가운데,	가운데/NNG+,/SP
주자가례에	주자가례/NNP+에/JKB
기분은	기분/NNG+은/JX
규제가	규제/NNG+가/JKS
"엄마,	"/SS+엄마/NNG+,/SP
논하는	논하/VV+는/ETM
맞아야	맞/VV+아야/EC
만전을	만전/NNG+을/JKO
이용하기	이용/NNG+하/XSV+기/ETN
북측이	북/NNP+측/NNB+이/JKS
이탈리아의	이탈리아/NNP+의/JKG
패권을	패권/NNG+을/JKO
학자	학자/NNG
늘어놓았다.	늘어놓/VV+았/EP+다/EF+./SF
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF
피차	피차/NNG
호구	호구/NNG
한식	한식/NNG
지역구	지역구/NNG
지역간	지역/NNG+간/NNB
주저앉아	주저앉/VV+아/EC
효율적	효율/NNG+적/XSN
그리구	그리구/MAJ
학과	학과/NNG
한갓	한갓/MAG
뽑았다.	뽑/VV+았/EP+다/EF+./SF
시선으로	시선/NNG+으로/JKB
파문이	파문/NNG+이/JKS
운영되고	운영/NNG+되/XSV+고/EC
목래가	목래/NNG+가/JKS
훗날	훗날/NNG
협의	협의/NNG
확보	확보/NNG
하필	하필/MAG
회갑	회갑/NNG
남북관계	남북/NNP+관계/NNG
흡사	흡사/MAG
흘려	흘리/VV+어/EC
숨어서	숨/VV+어서/EC
수입에	수입/NNG+에/JKB
몰라서	모르/VV+아서/EC
테러	테러/NNG
자동차는	자동차/NNG+는/JX
현황을	현황/NNG+을/JKO
태를	태/NNG+를/JKO
극복을	극복/NNG+을/JKO
선호하는	선호/NNG+하/XSV+는/ETM
한국으로	한국/NNP+으로/JKB
[임마	[/SS+임마/IC
택할	택하/VV+ㄹ/ETM
집사자가	집사자/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF
매체의	매체/NNG+의/JKG
그분이	그분/NP+이/JKS
시골에	시골/NNG+에/JKB
시골의	시골/NNG+의/JKG
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF
글쎄,	글쎄/IC+,/SP
활용해야	활용/NNG+하/XSV+아야/EC
학문들의	학문/NNG+들/XSN+의/JKG
최우선	최/XPN+우선/NNG
그놈의	그놈/NP+의/JKG
만했다.	만/NNB+하/XSA+았/EP+다/EF+./SF
그녀에	그녀/NP+에/JKB
현대인의	현대인/NNG+의/JKG
받아들이게	받아들이/VV+게/EC
공직사회의	공직/NNG+사회/NNG+의/JKG
합의는	합의/NNG+는/JX
교육부	교육부/NNG
96.02.23	96/SN+./SF+02/SN+./SF+23/SN
96.02.16	96/SN+./SF+02/SN+./SF+16/SN
96.02.15	96/SN+./SF+02/SN+./SF+15/SN
96.02.07	96/SN+./SF+02/SN+./SF+07/SN
주소를	주소/NNG+를/JKO
그대가	그대/NP+가/JKS
무엇으로	무엇/NP+으로/JKB
부모님을	부모/NNG+님/XSN+을/JKO
부모님이	부모/NNG+님/XSN+이/JKS
50년대	50/SN+년대/NNB
뜻깊은	뜻/NNG+깊/VA+은/ETM
여-야	여/NNG+-/SS+야/NNG
추석에	추석/NNG+에/JKB
농민은	농민/NNG+은/JX
그녀도	그녀/NP+도/JX
과학,	과학/NNG+,/SP
학위를	학위/NNG+를/JKO
행위라고	행위/NNG+이/VCP+라고/EC
축사를	축사/NNG+를/JKO
드러내지	드러내/VV+지/EC
구상을	구상/NNG+을/JKO
고통은	고통/NNG+은/JX
중세적	중세/NNG+적/XSN
송두리째	송두리/NNG+째/XSN
신화를	신화/NNG+를/JKO
조치로	조치/NNG+로/JKB
물갈이	물갈이/NNG
뿐만이	뿐/NNB+만/JX+이/JKC
길가에	길가/NNG+에/JKB
늦게까지	늦/VA+게/EC+까지/JX
간과해서는	간과/NNG+하/XSV+아서/EC+는/JX
교장의	교장/NNG+의/JKG
價格은	價格/SH+은/JX
지속되었다.	지속/NNG+되/XSV+었/EP+다/EF+./SF
아버지에	아버지/NNG+에/JKB
현금을	현금/NNG+을/JKO
일주일에	일/NR+주일/NNB+에/JKB
부모들은	부모/NNG+들/XSN+은/JX
증가할	증가/NNG+하/XSV+ㄹ/ETM
계층에	계층/NNG+에/JKB
어울린다.	어울리/VV+ㄴ다/EF+./SF
어린이들을	어린이/NNG+들/XSN+을/JKO
어린이들은	어린이/NNG+들/XSN+은/JX
기능으로	기능/NNG+으로/JKB
구멍을	구멍/NNG+을/JKO
지난주	지난주/NNG
의미다.	의미/NNG+이/VCP+다/EF+./SF
국민들	국민/NNG+들/XSN
지대한	지대/XR+하/XSA+ㄴ/ETM
모자를	모자/NNG+를/JKO
몫으로	몫/NNG+으로/JKB
청호동	청호동/NNP
교수,	교수/NNG+,/SP
죽음으로	죽음/NNG+으로/JKB
엄정하게	엄정/XR+하/XSA+게/EC
이도령이	이/NNP+도령/NNG+이/JKS
공작원	공작원/NNG
어려움은	어려움/NNG+은/JX
유의해야	유의/NNG+하/XSV+아야/EC
총선의	총선/NNG+의/JKG
유사하다.	유사/XR+하/XSA+다/EF+./SF
제시하지	제시/NNG+하/XSV+지/EC
세금으로	세금/NNG+으로/JKB
밀접하게	밀접/NNG+하/XSA+게/EC
갈레노스의	갈레노스/NNP+의/JKG
지금이	지금/NNG+이/JKS
보인다고	보이/VV+ㄴ다고/EC
감소하고	감소/NNG+하/XSV+고/EC
도움으로	도움/NNG+으로/JKB
중학교에	중학교/NNG+에/JKB
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF
중심은	중심/NNG+은/JX
권력에	권력/NNG+에/JKB
권력은	권력/NNG+은/JX
명이나	명/NNB+이나/JX
집중적인	집중/NNG+적/XSN+이/VCP+ㄴ/ETM
모습에	모습/NNG+에/JKB
지났다.	지나/VV+았/EP+다/EF+./SF
무대를	무대/NNG+를/JKO
지내게	지내/VV+게/EC
일어나면	일어나/VV+면/EC
민주당이	민주당/NNP+이/JKS
있겠는가?	있/VV+겠/EP+는가/EF+?/SF
사회에는	사회/NNG+에/JKB+는/JX
추구할	추구/NNG+하/XSV+ㄹ/ETM
경제력	경제력/NNG
감소하였으며	감소/NNG+하/XSV+았/EP+으며/EC
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
곁으로	곁/NNG+으로/JKB
충고를	충고/NNG+를/JKO
충격은	충격/NNG+은/JX
냉장고	냉장고/NNG
기피하는	기피/NNG+하/XSV+는/ETM
자녀들이	자녀/NNG+들/XSN+이/JKS
민족사의	민족사/NNG+의/JKG
교사,	교사/NNG+,/SP
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF
이용되는	이용/NNG+되/XSV+는/ETM
나타내	나타내/VV+어/EC
신에게	신/NNG+에게/JKB
제작된	제작/NNG+되/XSV+ㄴ/ETM
어머니는,	어머니/NNG+는/JX+,/SP
토론이	토론/NNG+이/JKS
절차의	절차/NNG+의/JKG
턱없이	턱없이/MAG
세계화를	세계/NNG+화/XSN+를/JKO
확대해	확대/NNG+하/XSV+아/EC
경지를	경지/NNG+를/JKO
과소비	과/XPN+소비/NNG
바꾸고	바꾸/VV+고/EC
정하지	정하/VV+지/EC
증가,	증가/NNG+,/SP
때까지는	때/NNG+까지/JX+는/JX
확대는	확대/NNG+는/JX
주류를	주류/NNG+를/JKO
남편도	남편/NNG+도/JX
"아니,	"/SS+아니/IC+,/SP
중산층의	중산/NNG+층/XSN+의/JKG
협력을	협력/NNG+을/JKO
시행하는	시행/NNG+하/XSV+는/ETM
보수적인	보수/NNG+적/XSN+이/VCP+ㄴ/ETM
선생님도	선생/NNG+님/XSN+도/JX
혁명에	혁명/NNG+에/JKB
반갑게	반갑/VA+게/EC
놀라는	놀라/VV+는/ETM
정치인들이	정치인/NNG+들/XSN+이/JKS
행정을	행정/NNG+을/JKO
내포되어	내포/NNG+되/XSV+어/EC
행적을	행적/NNG+을/JKO
허용,	허용/NNG+,/SP
대학생들이	대학/NNG+생/XSN+들/XSN+이/JKS
행위로	행위/NNG+로/JKB
한참을	한참/NNG+을/JKO
걸쳐서	걸치/VV+어서/EC
조상제사를	조상/NNG+제사/NNG+를/JKO
한총련	한총련/NNP
마련되어야	마련/NNG+되/XSV+어야/EC
기인한다.	기인/NNG+하/XSV+ㄴ다/EF+./SF
선생님께	선생/NNG+님/XSN+께/JKB
비해,	비하/VV+아/EC+,/SP
2000년까지	2000/SN+년/NNB+까지/JX
슬픔과	슬픔/NNG+과/JC
관리의	관리/NNG+의/JKG
무식한	무식/NNG+하/XSA+ㄴ/ETM
급증하는	급증/NNG+하/XSV+는/ETM
국가로	국가/NNG+로/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF
5,	5/SN+,/SP
일처럼	일/NNG+처럼/JKB
is	is/SL
예상했던	예상/NNG+하/XSV+았/EP+던/ETM
상통하는	상통/NNG+하/XSV+는/ETM
정리를	정리/NNG+를/JKO
여야간의	여야/NNG+간/NNB+의/JKG
종교에	종교/NNG+에/JKB
사상적	사상/NNG+적/XSN
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF
사설을	사설/NNG+을/JKO
않는,	않/VX+는/ETM+,/SP
처리가	처리/NNG+가/JKS
학습자가	학습자/NNG+가/JKS
머무르고	머무르/VV+고/EC
출발하여	출발/NNG+하/XSV+아/EC
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
세계화	세계/NNG+화/XSN
규제완화	규제/NNG+완화/NNG
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF
전환하는	전환/NNG+하/XSV+는/ETM
말하지만	말/NNG+하/XSV+지만/EC
유혹을	유혹/NNG+을/JKO
머무르는	머무르/VV+는/ETM
의미에서의	의미/NNG+에서/JKB+의/JKG
(5)	(/SS+5/SN+)/SS
미련을	미련/NNG+을/JKO
강도를	강도/NNG+를/JKO
것이오]	것/NNB+이/VCP+오/EC+]/SS
살아난	살아나/VV+ㄴ/ETM
복	복/NNG
밴	배/VV+ㄴ/ETM
3국	3/SN+국/NNG
1의	1/SN+의/JKG
5억	5/SN+억/NR
책임과	책임/NNG+과/JC
제목은	제목/NNG+은/JX
"잘	"/SS+잘/MAG
31.	31/SN+./SF
언	얼/VV+ㄴ/ETM
30%	30/SN+%/SW
3배	3/SN+배/NNG
학교,	학교/NNG+,/SP
책임의	책임/NNG+의/JKG
[저	[/SS+저/MM
보람있는	보람/NNG+있/VV+는/ETM
바라볼	바라보/VV+ㄹ/ETM
정민태	정민태/NNP
양국은	양국/NNG+은/JX
내일부터	내일/NNG+부터/JX
사무총장은	사무총장/NNG+은/JX
이해될	이해/NNG+되/XSV+ㄹ/ETM
전씨는	전/NNP+씨/NNB+는/JX
이해해	이해/NNG+하/XSV+아/EC
살려야	살리/VV+어야/EC
이르러서	이르/VV+어서/EC
씨름을	씨름/NNG+을/JKO
상황으로	상황/NNG+으로/JKB
무허가	무/XPN+허가/NNG
변함없이	변함없이/MAG
IRA의	IRA/SL+의/JKG
지팡이를	지팡이/NNG+를/JKO
상당의	상당/NNG+의/JKG
이야기에	이야기/NNG+에/JKB
폐지를	폐지/NNG+를/JKO
The	The/SL
형태로든	형태/NNG+로/JKB+이/VCP+든/EC
동원되어	동원/NNG+되/XSV+어/EC
감명을	감명/NNG+을/JKO
전쟁은	전쟁/NNG+은/JX
없었다면	없/VA+었/EP+다면/EC
40세	40/SN+세/NNB
華를	華/SH+를/JKO
뮤지컬	뮤지컬/NNG
12시	12/SN+시/NNB
20억	20/SN+억/NR
제안을	제안/NNG+을/JKO
착실히	착실히/MAG
제안한	제안/NNG+하/XSV+ㄴ/ETM
성공할	성공/NNG+하/XSV+ㄹ/ETM
알맞는	알맞/VA+는/ETM
성격상	성격/NNG+상/XSN
알맞게	알맞/VA+게/EC
주가가	주가/NNG+가/JKS
착수한	착수/NNG+하/XSV+ㄴ/ETM
교육부는	교육부/NNG+는/JX
오까네를	오까네/NNG+를/JKO
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
박기자가	박/NNP+기자/NNG+가/JKS
생각났다.	생각나/VV+았/EP+다/EF+./SF
유전적	유전/NNG+적/XSN
유의할	유의/NNG+하/XSV+ㄹ/ETM
장래의	장래/NNG+의/JKG
감정적	감정/NNG+적/XSN
유일의	유일/NNG+의/JKG
일본도	일본/NNP+도/JX
시각으로	시각/NNG+으로/JKB
배불리	배불리/MAG
건물은	건물/NNG+은/JX
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF
나오면서	나오/VV+면서/EC
추천하는	추천/NNG+하/XSV+는/ETM
걸맞는	걸맞/VA+는/ETM
얽매이지	얽매이/VV+지/EC
무소속의	무/XPN+소속/NNG+의/JKG
발상은	발상/NNG+은/JX
일상적	일상/NNG+적/XSN
되새겨	되새기/VV+어/EC
바오로	바오로/NNP
나누며	나누/VV+며/EC
나왔습니다.	나오/VV+았/EP+습니다/EF+./SF
접근할	접근/NNG+하/XSV+ㄹ/ETM
상대방	상대방/NNG
정국의	정국/NNG+의/JKG
음악의	음악/NNG+의/JKG
장면은	장면/NNG+은/JX
방송은	방송/NNG+은/JX
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
마땅하다고	마땅/XR+하/XSA+다고/EC
허용되지	허용/NNG+되/XSV+지/EC
사당이	사당/NNG+이/JKS
위축된	위축/NNG+되/XSV+ㄴ/ETM
처가의	처가/NNG+의/JKG
처가에	처가/NNG+에/JKB
감소를	감소/NNG+를/JKO
전개한	전개/NNG+하/XSV+ㄴ/ETM
발견하는	발견/NNG+하/XSV+는/ETM
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
자격으로	자격/NNG+으로/JKB
정당과	정당/NNG+과/JC
현역의원	현역/NNG+의원/NNG
거액을	거액/NNG+을/JKO
참가할	참가/NNG+하/XSV+ㄹ/ETM
재촉했다.	재촉/NNG+하/XSV+았/EP+다/EF+./SF
처리해야	처리/NNG+하/XSV+아야/EC
꿈에서	꿈/NNG+에서/JKB
의제를	의제/NNG+를/JKO
